,a,b,c,d,e,f,g,h,i,j
214,774,244,585,789,824,234,461,765,259,772
215,368,857,667,434,798,782,945,704,525,825
216,915,355,444,693,36,655,107,641,400,876
217,754,358,889,359,717,195,841,644,398,881
218,324,744,231,17,812,735,223,846,807,793
219,522,130,352,968,398,925,867,297,219,40
220,206,415,325,7,71,513,199,893,311,648
221,677,22,49,58,435,780,218,248,80,384
222,224,230,721,970,368,343,131,990,541,607
223,960,384,382,153,142,557,968,844,660,348
224,392,238,310,62,638,471,268,210,995,119
225,90,552,396,439,759,569,13,928,900,419
226,827,150,259,761,212,472,864,684,432,485
227,34,973,346,769,547,742,538,453,437,497
228,44,452,787,608,222,585,140,265,22,603
229,726,377,241,792,913,637,951,166,978,555
230,931,675,158,433,377,489,844,668,374,926
231,577,673,163,240,470,371,128,374,770,338
232,585,632,600,241,735,197,105,446,592,554
233,996,260,9,254,945,476,877,863,350,589
234,753,604,669,911,111,572,769,797,231,489
235,593,19,39,594,291,397,500,904,399,824
236,232,653,366,523,69,672,718,163,887,154
237,663,708,441,488,192,356,588,392,999,844
238,307,168,170,119,945,768,848,855,854,935
239,372,172,767,341,338,975,186,410,507,614
240,196,650,270,966,982,211,987,275,44,736
241,364,956,453,914,884,188,567,351,104,408
242,607,603,196,73,975,553,491,105,666,597
243,406,221,993,49,437,318,672,778,669,686
244,550,861,995,726,496,420,983,73,245,900
245,757,683,887,166,552,968,305,942,241,312
246,18,859,951,647,787,571,332,219,223,13
247,91,720,305,491,182,825,81,541,605,466
248,432,641,468,128,530,839,359,95,978,222
249,549,67,863,335,982,233,22,866,519,331
250,769,462,728,702,705,686,523,288,68,979
251,815,248,421,785,738,273,55,351,282,746
252,746,292,439,461,295,711,368,762,7,813
253,46,816,767,95,202,18,204,706,622,151
254,36,946,89,294,313,767,389,279,849,712
255,257,808,323,277,602,235,31,805,479,4
256,782,126,867,131,470,280,171,798,127,324
257,536,433,93,276,435,500,833,109,148,46
258,245,958,536,390,733,929,99,757,296,126
259,289,424,216,64,199,573,378,436,566,44
260,569,869,433,525,60,262,659,322,52,659
261,822,71,566,13,334,686,5,726,134,127
262,835,287,439,113,453,903,722,409,221,132
263,705,108,425,90,127,212,633,236,56,249
264,447,670,581,682,41,559,545,620,545,316
265,413,215,915,883,0,550,697,296,94,490
266,945,323,828,723,412,470,969,191,392,336
267,126,881,166,490,194,751,223,423,32,783
268,304,195,602,87,817,761,51,327,149,239
269,155,502,942,159,197,181,915,610,1,48
270,491,936,757,967,9,270,709,357,321,578
271,316,969,409,767,462,37,932,670,704,917
272,279,245,196,900,257,384,661,157,5,839
273,209,124,757,475,69,393,995,678,585,43
274,372,996,241,83,578,506,731,65,475,8
275,86,148,688,896,607,550,328,908,980,79
276,529,491,212,42,102,633,813,65,451,399
277,147,370,181,145,993,406,679,91,738,282
278,367,678,841,425,226,41,182,522,325,639
279,990,860,176,873,949,103,974,676,191,450
280,658,877,577,190,848,313,289,847,383,758
281,949,234,126,592,336,676,658,674,625,105
282,688,249,647,793,347,443,218,191,720,732
283,4,522,154,421,575,335,734,622,741,623
284,775,668,574,433,166,899,333,621,793,252
285,886,711,585,980,696,32,971,323,680,84
286,33,641,252,850,904,669,148,629,830,71
287,965,234,394,880,44,624,63,732,334,380
288,537,212,463,52,152,319,227,657,87,615
289,626,656,465,27,238,76,542,641,98,348
290,950,332,569,436,748,479,648,293,28,880
291,115,266,975,529,289,288,15,650,512,131
292,288,772,440,822,151,300,697,513,680,861
293,758,176,725,258,949,37,735,728,794,769
294,371,263,488,388,404,244,593,237,17,195
295,133,755,647,989,96,907,119,342,885,819
296,741,308,955,445,509,507,620,833,295,785
297,363,365,908,934,623,913,591,949,843,175
298,590,820,980,189,312,81,132,129,462,279
299,996,943,286,402,718,233,906,149,466,829
300,740,964,355,430,996,147,286,394,900,163
301,191,419,222,371,533,327,243,193,412,978
302,344,968,685,973,49,97,447,656,621,873
303,659,34,919,922,29,638,970,794,212,752
304,149,45,720,512,112,882,371,887,429,851
305,661,625,121,368,209,894,791,763,83,385
306,428,923,48,306,510,759,655,656,690,433
307,177,253,212,34,51,675,825,188,559,97
308,327,525,915,850,217,625,467,470,814,297
309,840,204,988,474,67,61,299,314,2,51
310,67,695,866,535,674,997,779,218,518,817
311,501,450,25,571,768,794,124,95,640,539
312,611,779,41,293,724,453,592,919,656,481
313,412,481,861,645,509,30,464,424,559,504
314,262,14,54,916,131,883,562,389,61,569
315,424,281,583,913,12,850,961,991,500,64
316,898,868,956,997,889,790,987,251,271,871
317,578,479,578,489,756,480,651,474,126,17
318,403,725,274,129,324,62,452,902,496,208
319,810,180,715,184,908,925,491,19,551,790
320,784,371,462,686,71,388,451,41,669,955
321,288,256,379,260,4,28,793,833,952,660
322,428,516,23,73,464,165,746,895,700,890
323,508,496,507,552,155,718,427,817,873,567
324,177,730,350,695,115,569,324,647,333,325
325,524,55,782,770,874,663,378,794,690,215
326,128,23,133,322,897,854,158,864,173,778
327,378,694,99,168,316,757,806,977,471,10
328,974,527,187,33,477,213,955,945,907,950
329,784,631,850,896,94,884,920,462,857,393
330,389,359,936,242,716,914,266,392,481,456
331,113,60,795,295,544,955,418,538,370,357
332,610,459,756,965,165,519,563,777,512,393
333,762,254,833,749,761,451,611,521,248,897
334,845,643,930,582,537,63,139,804,145,899
335,292,53,621,879,135,880,654,776,925,565
336,574,859,239,928,352,429,209,666,745,87
337,107,212,112,248,668,809,48,367,560,654
338,479,494,748,629,840,156,622,322,377,682
339,399,435,912,410,54,237,918,583,295,438
340,834,607,165,602,13,284,36,408,354,515
341,395,628,238,367,508,960,619,698,612,561
342,586,43,737,195,29,198,567,20,184,694
343,146,696,469,987,537,416,889,535,994,833
344,544,326,735,249,916,750,860,13,182,616
345,994,870,994,270,183,501,138,265,990,655
346,775,663,620,860,672,708,819,161,172,894
347,130,853,342,865,449,612,415,637,117,822
348,321,427,381,807,572,182,507,573,639,806
349,11,195,268,540,103,233,874,803,952,410
350,904,325,750,319,547,785,877,50,271,684
351,712,230,342,142,757,68,797,290,992,189
352,112,281,599,884,701,401,824,899,807,176
353,525,828,830,9,699,389,550,41,410,305
354,968,960,225,910,940,431,617,292,363,206
355,738,21,899,872,773,789,940,905,54,970
356,965,640,649,111,726,984,417,230,478,589
357,585,139,253,103,16,472,481,818,362,917
358,123,947,274,0,410,238,147,829,217,212
359,123,99,990,243,269,855,165,379,544,682
360,621,402,390,417,450,127,580,240,138,763
361,866,170,206,908,497,462,603,511,277,918
362,931,230,949,893,388,516,522,972,561,492
363,106,950,281,69,184,994,974,72,219,20
364,320,568,246,104,298,317,603,145,540,61
365,112,273,509,697,891,496,380,932,223,651
366,894,549,201,472,833,727,694,13,657,790
367,579,80,764,11,578,345,935,804,923,886
368,282,5,206,507,122,764,786,45,506,163
369,76,69,635,373,841,668,101,408,326,192
370,783,200,133,499,905,178,670,787,354,664
371,12,627,507,486,643,58,942,961,632,819
372,839,80,86,453,852,506,978,10,84,740
373,754,376,707,43,68,607,872,456,608,105
374,934,620,693,408,141,713,519,315,198,434
375,715,223,521,493,554,333,803,784,883,167
376,438,420,881,133,388,660,680,498,591,159
377,663,660,990,614,53,972,540,922,184,65
378,73,670,908,676,639,32,730,444,482,177
379,422,39,766,7,796,894,412,936,639,484
380,419,59,358,527,855,427,604,894,924,803
381,889,576,961,3,538,305,162,312,66,136
382,66,235,717,470,705,750,31,469,436,118
383,210,407,46,119,12,664,240,193,232,837
384,744,963,394,667,231,701,113,241,445,825
385,483,800,359,964,936,763,206,61,655,644
386,405,558,334,463,334,165,523,694,250,652
387,309,912,727,850,440,360,373,136,181,325
388,527,588,86,416,397,805,748,426,303,115
389,354,834,551,777,538,481,629,753,217,252
390,659,505,744,979,722,35,190,510,548,686
391,495,140,339,369,976,241,923,958,198,603
392,486,819,524,312,819,48,217,833,572,257
393,998,812,904,641,995,86,860,383,866,114
394,387,206,942,798,206,815,964,722,966,763
395,991,980,20,659,211,9,93,744,406,110
396,643,314,383,440,592,373,536,816,419,732
397,892,719,841,982,199,353,721,323,904,228
398,381,313,300,398,136,31,634,73,800,816
399,453,135,33,665,433,294,243,618,123,956
400,403,727,222,832,556,946,260,799,279,274
401,537,244,729,946,203,252,245,237,583,203
402,593,866,857,690,108,918,799,635,567,344
403,807,827,658,563,526,506,630,535,604,100
404,642,978,884,211,739,618,905,786,564,888
405,723,294,35,549,865,925,665,270,334,35
406,260,219,123,589,531,95,204,32,746,584
407,903,267,480,719,376,60,619,879,552,858
408,291,614,975,434,695,878,972,458,976,345
409,695,70,715,203,960,790,77,464,926,360
410,938,968,868,430,72,902,76,368,463,112
411,846,853,383,674,46,155,973,628,675,288
412,662,530,796,134,413,135,667,978,175,67
413,103,563,680,692,436,106,702,92,303,987
414,995,258,383,331,507,135,861,441,142,726
415,274,223,397,181,665,69,556,714,639,469
416,210,323,883,248,946,922,385,395,280,418
417,329,818,629,247,771,540,192,879,254,872
418,349,840,127,88,993,826,467,909,934,753
419,979,824,93,963,99,512,10,647,396,995
420,718,289,489,638,21,390,371,13,641,472
421,78,984,961,204,332,677,965,174,893,894
422,199,224,814,538,490,371,296,191,864,286
423,865,167,888,838,292,34,453,63,106,831
424,742,612,618,449,11,805,254,34,569,488
425,795,690,100,490,974,375,804,993,388,348
426,668,495,29,748,190,742,975,700,400,736
427,197,494,482,364,564,351,320,672,781,638
428,130,596,251,931,971,913,294,420,891,161
429,354,249,918,163,646,747,384,519,204,220
430,387,391,186,193,292,899,622,758,20,568
431,709,366,710,790,825,255,698,725,436,336
432,34,544,190,902,821,68,360,424,474,275
433,962,275,518,389,468,144,809,73,451,395
434,367,177,142,813,939,211,987,868,765,735
435,42,307,605,655,71,258,169,511,626,783
436,748,954,299,135,615,755,833,547,425,11
437,307,426,230,226,57,829,336,427,937,908
438,482,351,185,592,41,617,963,709,433,133
439,712,902,36,402,35,686,508,446,658,200
440,687,49,529,726,888,850,363,615,405,492
441,541,765,888,483,128,285,473,692,940,717
442,22,670,148,378,575,592,256,760,193,86
443,226,135,619,250,517,414,79,22,918,566
444,25,275,260,325,104,496,643,270,514,955
445,24,236,268,754,28,579,450,980,306,779
446,650,255,271,402,109,510,502,70,143,269
447,322,691,520,780,685,904,756,922,325,239
448,914,568,676,417,622,616,284,730,334,73
449,505,890,999,492,993,992,502,254,4,476
450,228,356,903,594,654,859,784,59,503,571
451,504,421,279,861,44,191,216,883,295,750
452,768,117,446,478,713,77,663,554,788,380
453,38,891,140,896,755,300,201,624,575,87
454,724,263,337,492,532,748,872,891,881,982
455,455,337,288,398,235,778,478,802,144,106
456,930,169,177,155,118,717,900,924,420,176
457,484,825,712,725,374,88,666,975,420,272
458,715,764,418,926,15,323,590,136,719,359
459,561,879,318,289,367,246,36,184,3,372
460,383,357,713,439,190,208,472,3,250,789
461,956,949,188,88,72,225,541,578,318,485
462,587,585,635,250,330,350,754,79,435,422
463,556,548,252,892,383,319,237,25,17,374
464,301,844,0,895,614,160,880,376,873,850
465,8,146,840,574,899,248,675,3,139,968
466,302,630,997,897,824,590,978,43,887,806
467,532,9,51,49,529,960,974,921,559,819
468,875,306,603,513,91,324,226,2,236,968
469,814,377,822,516,384,744,915,918,818,844
470,825,838,540,514,852,522,491,5,843,165
471,761,598,434,465,304,845,879,158,779,660
472,687,504,444,219,588,734,718,125,428,939
473,193,353,191,472,134,261,978,158,801,328
474,82,32,973,155,429,706,140,222,82,139
475,590,832,467,945,132,84,278,26,201,462
476,335,340,537,343,410,32,384,709,939,867
477,159,570,209,372,736,274,446,593,358,724
478,869,383,426,983,283,613,987,374,585,946
479,302,679,577,631,551,155,338,525,830,523
480,113,49,653,94,500,460,722,174,517,77
481,685,502,427,159,644,435,792,385,327,993
482,585,130,296,355,621,991,522,457,113,57
483,128,48,551,297,881,856,16,404,127,841
484,885,350,148,887,173,476,989,710,222,279
485,82,829,83,864,277,585,927,84,982,625
486,867,288,907,879,291,514,562,708,910,460
487,996,501,353,477,327,323,663,680,859,270
488,913,908,213,157,510,875,886,855,929,50
489,733,791,249,300,423,307,865,553,56,482
490,571,331,476,937,241,496,809,860,609,211
491,18,655,999,493,303,331,917,103,567,699
492,262,620,48,387,431,203,806,581,501,305
493,107,22,280,420,396,487,745,877,691,605
494,884,726,786,572,342,906,640,8,282,584
495,981,63,37,366,457,266,602,690,340,545
496,357,608,790,285,361,951,904,256,517,560
497,241,960,751,874,726,197,785,502,943,141
498,701,645,512,816,33,490,186,310,787,371
499,479,114,35,801,715,740,338,16,522,885
500,657,356,19,936,703,414,239,242,687,773
501,215,75,69,142,853,785,183,786,457,320
502,980,292,969,996,650,203,173,461,921,820
503,474,79,550,220,632,896,41,42,490,362
504,130,483,376,731,255,287,280,913,535,716
505,918,802,644,503,139,72,953,721,869,46
506,952,188,491,64,68,41,792,890,546,118
507,153,305,205,67,772,980,947,765,293,353
508,178,837,655,439,530,83,250,314,423,784
509,27,787,386,509,793,26,158,604,445,497
510,721,779,905,983,631,168,273,131,305,905
511,919,576,650,325,211,942,94,92,398,723
512,137,356,317,868,978,659,806,518,862,543
513,966,945,808,260,281,164,123,790,764,464
514,128,186,860,196,491,315,805,676,845,931
515,37,355,825,76,612,170,680,166,618,44
516,830,951,535,817,265,771,955,203,479,511
517,725,607,926,641,181,511,222,676,376,752
518,304,401,213,468,455,710,47,633,813,948
519,386,541,918,499,482,899,449,735,100,98
520,983,865,863,640,309,756,444,949,706,330
521,722,33,713,843,654,892,78,112,167,433
522,647,124,430,853,443,222,620,833,253,294
523,252,652,520,333,92,819,426,16,293,609
524,455,522,386,298,957,787,947,890,386,537
525,231,630,687,418,114,824,714,317,761,778
526,354,213,135,23,201,761,725,381,676,254
527,669,548,822,256,744,882,43,170,498,385
528,622,912,837,956,1,40,507,651,830,385
529,311,998,551,995,163,927,277,391,268,615
530,901,526,257,925,711,851,823,796,410,296
531,156,275,827,844,956,350,966,413,485,394
532,563,307,367,373,54,571,861,459,814,91
533,228,41,422,695,921,8,8,593,306,757
534,500,465,864,496,943,653,840,723,521,984
535,599,308,236,553,708,202,493,424,627,890
536,35,400,434,714,67,708,511,150,334,718
537,626,120,253,50,178,291,359,40,94,357
538,25,863,76,308,936,383,535,698,759,993
539,7,732,408,551,334,528,175,814,672,875
540,37,991,261,366,45,939,389,118,785,563
541,919,868,552,918,38,961,725,124,769,452
542,627,218,891,685,703,152,299,895,251,253
543,754,350,606,750,807,733,212,674,803,781
544,858,126,674,342,81,224,108,432,476,470
545,230,886,172,120,8,191,215,730,773,592
546,321,322,49,422,173,729,45,37,549,648
547,583,888,298,360,381,390,707,653,450,282
548,289,73,373,998,971,697,142,502,116,676
549,421,797,842,103,181,758,860,658,348,377
550,45,319,757,440,893,366,643,491,865,694
551,917,616,855,295,1,17,526,23,49,891
552,803,253,99,112,476,162,520,619,720,59
553,259,707,408,159,545,792,656,126,976,244
554,430,903,182,940,360,172,323,789,55,774
555,26,270,111,561,429,695,917,495,436,879
556,318,685,11,783,641,895,913,696,600,659
557,65,152,725,664,613,120,279,780,215,256
558,649,761,202,259,659,535,619,637,726,252
559,241,711,617,856,476,369,513,457,140,231
560,539,339,833,546,92,321,548,379,199,690
561,224,348,756,353,238,705,830,291,279,999
562,981,508,798,277,838,138,65,234,535,28
563,724,401,237,474,376,281,847,207,506,965
564,851,525,928,598,363,504,929,105,56,441
565,40,656,26,63,544,667,366,659,378,40
566,196,591,340,666,414,705,981,493,732,72
567,962,555,311,554,909,408,265,65,184,733
568,871,178,167,438,58,777,31,125,815,888
569,640,667,747,526,510,430,132,779,302,839
570,838,906,384,694,971,327,384,786,372,896
571,241,295,957,952,235,111,796,239,179,960
572,880,171,451,522,833,499,765,607,290,735
573,687,79,370,252,172,78,597,682,48,698
574,726,150,364,952,954,413,705,734,723,560
575,20,267,552,572,555,125,344,993,237,220
576,245,841,346,210,882,1,737,246,812,826
577,913,816,347,992,676,359,959,7,715,101
578,496,787,315,316,738,681,881,257,905,202
579,421,659,43,433,332,349,472,893,563,311
580,299,826,509,283,176,779,420,464,121,890
581,570,729,64,426,181,647,260,430,439,649
582,561,428,392,458,301,406,908,647,30,501
583,423,710,438,811,685,23,793,93,214,937
584,794,803,788,924,937,327,137,536,34,65
585,668,689,661,510,630,94,849,633,757,352
586,3,864,107,648,671,57,518,288,920,733
587,858,503,853,259,81,692,348,174,90,62
588,580,460,428,728,962,167,188,192,528,581
589,558,523,907,982,87,714,453,407,214,90
590,373,324,250,497,990,443,204,999,985,503
591,31,750,250,63,299,105,946,429,822,844
592,367,890,809,882,261,475,351,758,880,35
593,867,779,302,371,670,598,110,873,576,746
594,218,646,438,14,927,261,23,371,225,265
595,992,698,236,776,102,415,270,122,705,569
596,967,90,894,115,49,178,688,844,687,507
597,348,155,448,815,489,605,268,402,890,849
598,23,596,45,354,352,831,309,720,312,995
599,247,655,650,632,299,171,603,370,46,444
600,851,255,538,862,237,891,935,708,920,926
601,397,740,221,809,942,429,620,176,577,761
602,186,255,140,348,234,351,405,298,244,611
603,559,494,204,946,125,285,296,557,625,28
604,258,370,867,657,697,18,566,398,863,442
605,30,241,533,427,14,564,955,248,563,162
606,86,558,694,333,104,354,810,431,9,439
607,639,146,45,956,486,583,245,659,748,751
608,792,193,48,935,212,160,732,127,179,608
609,509,883,148,709,235,43,469,447,895,128
610,515,519,489,493,121,824,319,605,880,431
611,564,747,96,176,713,374,616,865,334,579
612,485,351,989,358,857,34,57,812,705,489
613,452,908,603,279,988,920,827,108,553,334
614,868,654,413,962,874,109,635,776,296,979
615,180,554,446,520,300,762,639,358,400,640
616,829,976,680,253,859,297,649,663,426,126
617,868,88,893,971,662,872,163,2,943,974
618,978,870,181,775,229,124,105,590,30,761
619,872,282,243,7,89,823,658,924,346,776
620,898,867,371,183,306,858,314,813,925,415
621,816,898,864,523,815,862,70,869,20,730
622,239,208,97,952,236,293,167,939,640,174
623,668,310,120,368,413,206,736,147,573,762
624,880,910,749,767,805,944,167,39,502,9
625,765,545,426,965,72,849,632,878,141,582
626,899,968,526,792,892,350,226,264,5,215
627,192,80,422,934,974,460,635,425,365,630
628,768,866,235,475,488,138,467,439,147,454
629,571,242,748,846,440,619,220,637,142,428
630,267,711,357,673,446,888,738,910,298,850
631,32,670,855,576,80,988,196,29,132,914
632,992,159,913,182,615,211,620,774,13,116
633,977,148,401,770,665,730,839,54,615,458
